Date,Adj Close,Rtn,Scaled rtns,,Mean,-4.84162E-05,,,Count,4976
2003/12/1,1.718597,,,,Std Dev,0.006033537,,,,
2003/12/2,1.730313,0.006817189,1.137907114,,Minimum,-12.59467647,,,,
2003/12/3,1.728101,-0.001278381,-0.203854745,,Maximum,5.885550362,,,,
2003/12/4,1.720697,-0.004284472,-0.702084932,,Bucket width,0.184802268,,,,
2003/12/5,1.733102,0.007209288,1.202893734,,,,,,,
2003/12/8,1.734214,0.000641624,0.114367461,,Bucket,,Freq,PDF,Normal,
2003/12/9,1.745414,0.006458257,1.078417715,,-12.59467647,-12.68707761,1,0.001087458,4.45112E-36,
2003/12/10,1.739796,-0.003218721,-0.525447056,,-12.40987421,-12.50227534,0,0,4.56353E-35,
2003/12/11,1.746206,0.00368434,0.618667974,,-12.22507194,-12.31747307,0,0,4.52168E-34,
2003/12/12,1.747305,0.000629364,0.112335546,,-12.04026967,-12.1326708,0,0,4.32979E-33,
2003/12/15,1.747305,0,0.008024519,,-11.8554674,-11.94786853,0,0,4.00684E-32,
2003/12/16,1.754201,0.003946649,0.662143179,,-11.67066513,-11.76306627,0,0,3.58348E-31,
2003/12/17,1.765506,0.006444529,1.076142478,,-11.48586286,-11.578264,0,0,3.09725E-30,
2003/12/18,1.771009,0.003116953,0.52462918,,-11.3010606,-11.39346173,0,0,2.58712E-29,
2003/12/19,1.765194,-0.003283439,-0.536173498,,-11.11625833,-11.20865946,0,0,2.08845E-28,
2003/12/22,1.764291,-0.000511559,-0.076761318,,-10.93145606,-11.02385719,0,0,1.62929E-27,
2003/12/23,1.764197,-5.32792E-05,-0.000805988,,-10.74665379,-10.83905492,0,0,1.22841E-26,
2003/12/24,1.7756,0.006463564,1.07929725,,-10.56185152,-10.65425266,0,0,8.95063E-26,
2003/12/25,1.775411,-0.000106443,-0.009617353,,-10.37704925,-10.46945039,0,0,6.30279E-25,
2003/12/26,1.772013,-0.001913923,-0.309189573,,-10.19224699,-10.28464812,0,0,4.28924E-24,
2003/12/29,1.774497,0.001401796,0.240358478,,-10.00744472,-10.09984585,0,0,2.82096E-23,
2003/12/30,1.777999,0.001973517,0.335115732,,-9.822642449,-9.915043583,0,0,1.793E-22,
2003/12/31,1.788813,0.006082118,1.016076338,,-9.63784018,-9.730241315,0,0,1.10137E-21,
2004/1/1,1.785204,-0.002017539,-0.326362911,,-9.453037912,-9.545439046,0,0,6.53809E-21,
2004/1/2,1.79369,0.004753518,0.795873869,,-9.268235644,-9.360636778,0,0,3.75093E-20,
2004/1/5,1.807207,0.007535862,1.257020186,,-9.083433375,-9.175834509,0,0,2.07967E-19,
2004/1/6,1.821295,0.007795455,1.300045148,,-8.898631107,-8.991032241,0,0,1.11434E-18,
2004/1/7,1.817785,-0.0019272,-0.311390127,,-8.713828839,-8.806229973,0,0,5.77045E-18,
2004/1/8,1.833887,0.008858033,1.476157219,,-8.52902657,-8.621427704,0,0,2.88782E-17,
2004/1/9,1.848087,0.007743116,1.291370566,,-8.344224302,-8.436625436,0,0,1.39668E-16,
2004/1/12,1.845597,-0.001347339,-0.215283819,,-8.159422033,-8.251823168,0,0,6.52819E-16,
2004/1/13,1.848805,0.001738191,0.296112732,,-7.974619765,-8.067020899,0,0,2.94888E-15,
2004/1/14,1.831703,-0.0092503,-1.525122489,,-7.789817497,-7.882218631,0,0,1.28733E-14,
2004/1/15,1.825184,-0.003558983,-0.581842248,,-7.605015228,-7.697416363,0,0,5.43111E-14,
